Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 4385,https://www.congress.gov/bill/118th-congress/house-bill/4385,118th Congress (2023-2024),Drought Preparedness Act,"Neguse, Joe [Rep.-D-CO-2]",06/27/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-170.,12/23/2024,2,,,,,
H.R. 5009,https://www.congress.gov/bill/118th-congress/house-bill/5009,118th Congress (2023-2024),"To authorize appropriations for fiscal year 2025 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","Joyce, David P. [Rep.-R-OH-14]",07/27/2023,House - Natural Resources,Became Public Law No: 118-159.,12/23/2024,12,,,,,
H.R. 7213,https://www.congress.gov/bill/118th-congress/house-bill/7213,118th Congress (2023-2024),Autism CARES Act of 2024,"Smith, Christopher H. [Rep.-R-NJ-4]",02/01/2024,House - Energy and Commerce,Became Public Law No: 118-180.,12/23/2024,61,,,,,
H.R. 6829,https://www.congress.gov/bill/118th-congress/house-bill/6829,118th Congress (2023-2024),HEARTS Act of 2024,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",12/14/2023,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",Became Public Law No: 118-176.,12/23/2024,4,,,,,
H.R. 4094,https://www.congress.gov/bill/118th-congress/house-bill/4094,118th Congress (2023-2024),Great Salt Lake Stewardship Act,"Curtis, John R. [Rep.-R-UT-3]",06/14/2023,House - Natural Resources,Became Public Law No: 118-169.,12/23/2024,4,,,,,
H.R. 6826,https://www.congress.gov/bill/118th-congress/house-bill/6826,118th Congress (2023-2024),To designate the visitor and education center at Fort McHenry National Monument and Historic Shrine as the Paul S. Sarbanes Visitor and Education Center.,"Mfume, Kweisi [Rep.-D-MD-7]",12/14/2023,House - Natural Resources,Became Public Law No: 118-175.,12/23/2024,7,,,,,
H.R. 8413,https://www.congress.gov/bill/118th-congress/house-bill/8413,118th Congress (2023-2024),Swanson and Hugh Butler Reservoirs Land Conveyances Act,"Smith, Adrian [Rep.-R-NE-3]",05/15/2024,House - Natural Resources,Became Public Law No: 118-185.,12/23/2024,5,,,,,
H.R. 8219,https://www.congress.gov/bill/118th-congress/house-bill/8219,118th Congress (2023-2024),Lahaina National Heritage Area Study Act,"Tokuda, Jill N. [Rep.-D-HI-2]",05/01/2024,House - Natural Resources,Became Public Law No: 118-184.,12/23/2024,7,,,,,
H.R. 6843,https://www.congress.gov/bill/118th-congress/house-bill/6843,118th Congress (2023-2024),"To expand the boundaries of the Atchafalaya National Heritage Area to include Lafourche Parish, Louisiana.","Scalise, Steve [Rep.-R-LA-1]",12/15/2023,House - Natural Resources,Became Public Law No: 118-177.,12/23/2024,4,,,,,
H.R. 7872,https://www.congress.gov/bill/118th-congress/house-bill/7872,118th Congress (2023-2024),Colorado River Salinity Control Fix Act,"Curtis, John R. [Rep.-R-UT-3]",04/05/2024,House - Natural Resources,Became Public Law No: 118-183.,12/23/2024,10,,,,,
