Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 7659,https://www.congress.gov/bill/118th-congress/house-bill/7659,118th Congress (2023-2024),Coast Guard Authorization Act of 2024,"Graves, Sam [Rep.-R-MO-6]",03/13/2024,"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/15/2024,4,,,,,
H.R. 4814,https://www.congress.gov/bill/118th-congress/house-bill/4814,118th Congress (2023-2024),Consumer Safety Technology Act,"Soto, Darren [Rep.-D-FL-9]",07/20/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/15/2024,4,,,,,
H.R. 6132,https://www.congress.gov/bill/118th-congress/house-bill/6132,118th Congress (2023-2024),Awning Safety Act of 2023,"Balderson, Troy [Rep.-R-OH-12]",11/01/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/15/2024,3,,,,,
H.R. 5390,https://www.congress.gov/bill/118th-congress/house-bill/5390,118th Congress (2023-2024),Critical Infrastructure Manufacturing Feasibility Act,"Miller-Meeks, Mariannette [Rep.-R-IA-1]",09/12/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/15/2024,7,,,,,
H.R. 2717,https://www.congress.gov/bill/118th-congress/house-bill/2717,118th Congress (2023-2024),Hershel Woody Williams National Medal of Honor Monument Location Act,"Moore, Blake D. [Rep.-R-UT-1]",04/19/2023,House - Natural Resources | Senate - Energy and Natural Resources,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.,05/15/2024,34,,,,,
H.R. 7319,https://www.congress.gov/bill/118th-congress/house-bill/7319,118th Congress (2023-2024),End Zuckerbucks Act of 2024,"Tenney, Claudia [Rep.-R-NY-24]",02/13/2024,"House - House Administration, Ways and Means","Reported (Amended) by the Committee on House Administration. H. Rept. 118-509, Part I.",05/14/2024,1,,,,,
H.R. 7109,https://www.congress.gov/bill/118th-congress/house-bill/7109,118th Congress (2023-2024),Equal Representation Act,"Edwards, Chuck [Rep.-R-NC-11]",01/29/2024,House - Oversight and Accountability,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 386.,05/14/2024,114,,,,,
H.R. 1042,https://www.congress.gov/bill/118th-congress/house-bill/1042,118th Congress (2023-2024),Prohibiting Russian Uranium Imports Act,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",02/14/2023,House - Energy and Commerce,Became Public Law No: 118-62.,05/13/2024,6,,,,,
H.Con.Res. 83,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/83,118th Congress (2023-2024),Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,"Perry, Scott [Rep.-R-PA-10]",01/18/2024,House - Transportation and Infrastructure,Message on Senate action sent to the House.,05/10/2024,2,,,,,
H.R. 2925,https://www.congress.gov/bill/118th-congress/house-bill/2925,118th Congress (2023-2024),Mining Regulatory Clarity Act of 2024,"Amodei, Mark E. [Rep.-R-NV-2]",04/27/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/09/2024,1,,,,,
H.R. 4143,https://www.congress.gov/bill/118th-congress/house-bill/4143,118th Congress (2023-2024),National Construction Safety Team Enhancement Act of 2024,"Lofgren, Zoe [Rep.-D-CA-18]",06/15/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/09/2024,17,,,,,
H.R. 6192,https://www.congress.gov/bill/118th-congress/house-bill/6192,118th Congress (2023-2024),Hands Off Our Home Appliances Act,"Lesko, Debbie [Rep.-R-AZ-8]",11/02/2023,House - Energy and Commerce | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/08/2024,10,,,,,
H.Res. 1194,https://www.congress.gov/bill/118th-congress/house-resolution/1194,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 6192) to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes; providing for consideration of the bill (H.R. 7109) to require a citizenship question on the decennial census, to require reporting on certain census statistics, and to modify apportionment of Representatives to be based on United States citizens instead of all persons; providing for consideration of the joint resolution (H.J. Res. 109) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to ""Staff Accounting Bulletin No. 121""; and providing for consideration of the bill (H.R. 2925) to amend the Omnibus Budget Reconciliation Act of 1993 to provide for security of tenure for use of mining claims for ancillary activities, and for other purposes.","Houchin, Erin [Rep.-R-IN-9]",05/06/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,05/07/2024,0,,,,,
H.J.Res. 98,https://www.congress.gov/bill/118th-congress/house-joint-resolution/98,118th Congress (2023-2024),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to ""Standard for Determining Joint Employer Status"".","James, John [Rep.-R-MI-10]",11/09/2023,House - Education and the Workforce,The Chair directed the Clerk to notify the Senate of the action of the House.,05/07/2024,68,,,,,
H.R. 4766,https://www.congress.gov/bill/118th-congress/house-bill/4766,118th Congress (2023-2024),Clarity for Payment Stablecoins Act of 2023,"McHenry, Patrick T. [Rep.-R-NC-10]",07/20/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 408.",05/07/2024,1,,,,,
H.R. 1747,https://www.congress.gov/bill/118th-congress/house-bill/1747,118th Congress (2023-2024),Blockchain Regulatory Certainty Act,"Emmer, Tom [Rep.-R-MN-6]",03/23/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 403.",05/06/2024,1,,,,,
H.R. 3325,https://www.congress.gov/bill/118th-congress/house-bill/3325,118th Congress (2023-2024),Recruit and Retain Act of 2024,"Hunt, Wesley [Rep.-R-TX-38]",05/15/2023,House - Judiciary,"Placed on the Union Calendar, Calendar No. 399.",05/06/2024,17,,,,,
H.R. 6285,https://www.congress.gov/bill/118th-congress/house-bill/6285,118th Congress (2023-2024),Alaska’s Right to Produce Act of 2023,"Stauber, Pete [Rep.-R-MN-8]",11/08/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/02/2024,16,,,,,
H.R. 4824,https://www.congress.gov/bill/118th-congress/house-bill/4824,118th Congress (2023-2024),Carbon Sequestration Collaboration Act,"Baird, James R. [Rep.-R-IN-4]",07/24/2023,"House - Science, Space, and Technology | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/01/2024,1,,,,,
H.R. 764,https://www.congress.gov/bill/118th-congress/house-bill/764,118th Congress (2023-2024),Trust the Science Act,"Boebert, Lauren [Rep.-R-CO-3]",02/02/2023,House - Natural Resources,Received in the Senate.,05/01/2024,25,,,,,
H.R. 615,https://www.congress.gov/bill/118th-congress/house-bill/615,118th Congress (2023-2024),Protecting Access for Hunters and Anglers Act of 2023,"Wittman, Robert J. [Rep.-R-VA-1]",01/27/2023,"House - Natural Resources, Agriculture | Senate - Environment and Public Works",Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,05/01/2024,50,,,,,
H.R. 6093,https://www.congress.gov/bill/118th-congress/house-bill/6093,118th Congress (2023-2024),Weather Act Reauthorization Act of 2023,"Lucas, Frank D. [Rep.-R-OK-3]",10/26/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/01/2024,29,,,,,
H.R. 3397,https://www.congress.gov/bill/118th-congress/house-bill/3397,118th Congress (2023-2024),WEST Act of 2024,"Curtis, John R. [Rep.-R-UT-3]",05/17/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/01/2024,20,,,,,
H.R. 529,https://www.congress.gov/bill/118th-congress/house-bill/529,118th Congress (2023-2024),Extending Limits of U.S. Customs Waters Act,"Waltz, Michael [Rep.-R-FL-6]",01/25/2023,House - Ways and Means,Received in the Senate.,05/01/2024,32,,,,,
H.R. 4016,https://www.congress.gov/bill/118th-congress/house-bill/4016,118th Congress (2023-2024),Veteran Fraud Reimbursement Act,"Connolly, Gerald E. [Rep.-D-VA-11]",06/12/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,05/01/2024,3,,,,,
H.R. 4877,https://www.congress.gov/bill/118th-congress/house-bill/4877,118th Congress (2023-2024),Abandoned Well Remediation Research and Development Act,"Lee, Summer L. [Rep.-D-PA-12]",07/25/2023,"House - Science, Space, and Technology | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/01/2024,6,,,,,
H.R. 3195,https://www.congress.gov/bill/118th-congress/house-bill/3195,118th Congress (2023-2024),Superior National Forest Restoration Act,"Stauber, Pete [Rep.-R-MN-8]",05/10/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,05/01/2024,13,,,,,
H.R. 3738,https://www.congress.gov/bill/118th-congress/house-bill/3738,118th Congress (2023-2024),Veterans Economic Opportunity and Transition Administration Act,"Wenstrup, Brad R. [Rep.-R-OH-2]",05/25/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,05/01/2024,3,,,,,
H.Res. 1173,https://www.congress.gov/bill/118th-congress/house-resolution/1173,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 615) to prohibit the Secretary of the Interior and the Secretary of Agriculture from prohibiting the use of lead ammunition or tackle on certain Federal land or water under the jurisdiction of the Secretary of the Interior and the Secretary of Agriculture, and for other purposes; providing for consideration of the bill (H.R. 2925) to amend the Omnibus Budget Reconciliation Act of 1993 to provide for security of tenure for use of mining claims for ancillary activities, and for other purposes; providing for consideration of the bill (H.R. 3195) to rescind Public Land Order 7917, to reinstate mineral leases and permits in the Superior National Forest, to ensure timely review of Mine Plans of Operations, and for other purposes; providing for consideration of the bill (H.R. 764) to require the Secretary of the Interior to reissue regulations removing the gray wolf from the list of endangered and threatened wildlife under the Endangered Species Act of 1973; providing for consideration of the bill (H.R. 3397) to require the Director of the Bureau of Land Management to withdraw a rule of the Bureau of Land Management relating to conservation and landscape health; providing for consideration of the bill (H.R. 6285) to ratify and approve all authorizations, permits, verifications, extensions, biological opinions, incidental take statements, and any other approvals or orders issued pursuant to Federal law necessary for the establishment and administration of the Coastal Plain oil and gas leasing program, and for other purposes; and providing for consideration of the bill (H.R. 6090) to provide for the consideration of a definition of antisemitism set forth by the International Holocaust Remembrance Alliance for the enforcement of Federal antidiscrimination laws concerning education programs or activities, and for other purposes.","Fischbach, Michelle [Rep.-R-MN-7]",04/29/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,04/30/2024,0,,,,,
H.R. 5333,https://www.congress.gov/bill/118th-congress/house-bill/5333,118th Congress (2023-2024),Investing in All of America Act of 2023,"Meuser, Daniel [Rep.-R-PA-9]",09/01/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,04/30/2024,15,,,,,
H.R. 3722,https://www.congress.gov/bill/118th-congress/house-bill/3722,118th Congress (2023-2024),"Daniel J. Harvey, Jr. and Adam Lambert Improving Servicemember Transition to Reduce Veteran Suicide Act","Nunn, Zachary [Rep.-R-IA-3]",05/25/2023,"House - Veterans' Affairs, Armed Services",Received in the Senate.,04/30/2024,10,,,,,
H.R. 5914,https://www.congress.gov/bill/118th-congress/house-bill/5914,118th Congress (2023-2024),VETT Act,"Van Orden, Derrick [Rep.-R-WI-3]",10/10/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,04/30/2024,1,,,,,
H.R. 7103,https://www.congress.gov/bill/118th-congress/house-bill/7103,118th Congress (2023-2024),Agency Accountability Act of 2024,"Stauber, Pete [Rep.-R-MN-8]",01/29/2024,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,04/30/2024,2,,,,,
H.R. 4866,https://www.congress.gov/bill/118th-congress/house-bill/4866,118th Congress (2023-2024),Fire Weather Development Act of 2024,"Garcia, Mike [Rep.-R-CA-27]",07/25/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",04/30/2024,2,,,,,
H.R. 1069,https://www.congress.gov/bill/118th-congress/house-bill/1069,118th Congress (2023-2024),Clean Energy Demonstration Transparency Act of 2023,"Carey, Mike [Rep.-R-OH-15]",02/17/2023,"House - Science, Space, and Technology | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,04/30/2024,5,,,,,
H.R. 4755,https://www.congress.gov/bill/118th-congress/house-bill/4755,118th Congress (2023-2024),Privacy Enhancing Technology Research Act,"Stevens, Haley M. [Rep.-D-MI-11]",07/19/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",04/30/2024,1,,,,,
H.R. 7985,https://www.congress.gov/bill/118th-congress/house-bill/7985,118th Congress (2023-2024),Entrepreneurs with Disabilities Reporting Act of 2024,"McGarvey, Morgan [Rep.-D-KY-3]",04/15/2024,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,04/30/2024,2,,,,,
H.R. 7683,https://www.congress.gov/bill/118th-congress/house-bill/7683,118th Congress (2023-2024),Respecting the First Amendment on Campus Act,"Williams, Brandon [Rep.-R-NY-22]",03/15/2024,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 387.",04/26/2024,19,,,,,
H.R. 4389,https://www.congress.gov/bill/118th-congress/house-bill/4389,118th Congress (2023-2024),Migratory Birds of the Americas Conservation Enhancements Act of 2023,"Salazar, Maria Elvira [Rep.-R-FL-27]",06/27/2023,House - Natural Resources | Senate - Environment and Public Works,Became Public Law No: 118-51.,04/24/2024,19,,,,,
H.Res. 1160,https://www.congress.gov/bill/118th-congress/house-resolution/1160,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 8034) making emergency supplemental appropriations to respond to the situation in Israel and for related expenses for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 8035) making emergency supplemental appropriations to respond to the situation in Ukraine and for related expenses for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 8036) making emergency supplemental appropriations for assistance for the Indo-Pacific region and for related expenses for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 8038) to authorize the President to impose certain sanctions with respect to Russia and Iran, and for other purposes; and providing for the concurrence by the House in the Senate amendment to H.R. 815, with an amendment.","Burgess, Michael C. [Rep.-R-TX-26]",04/19/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,04/19/2024,0,,,,,
H.R. 4639,https://www.congress.gov/bill/118th-congress/house-bill/4639,118th Congress (2023-2024),Fourth Amendment Is Not For Sale Act,"Davidson, Warren [Rep.-R-OH-8]",07/14/2023,"House - Judiciary, Intelligence (Permanent Select)",Received in the Senate.,04/18/2024,7,,,,,
H.R. 6323,https://www.congress.gov/bill/118th-congress/house-bill/6323,118th Congress (2023-2024),Iran Counterterrorism Act of 2023,"Kim, Young [Rep.-R-CA-40]",11/09/2023,"House - Financial Services, Foreign Affairs | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",04/18/2024,4,,,,,
H.R. 6245,https://www.congress.gov/bill/118th-congress/house-bill/6245,118th Congress (2023-2024),Holding Iranian Leaders Accountable Act of 2023,"Hill, J. French [Rep.-R-AR-2]",11/06/2023,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",04/17/2024,3,,,,,
H.R. 6046,https://www.congress.gov/bill/118th-congress/house-bill/6046,118th Congress (2023-2024),Standing Against Houthi Aggression Act,"Clyde, Andrew S. [Rep.-R-GA-9]",10/25/2023,"House - Foreign Affairs, Judiciary",Motion to reconsider laid on the table Agreed to without objection.,04/17/2024,63,,,,,
H.R. 4555,https://www.congress.gov/bill/118th-congress/house-bill/4555,118th Congress (2023-2024),Federal Election Audit Act,"Murphy, Gregory F. [Rep.-R-NC-3]",07/11/2023,House - House Administration,"Placed on the Union Calendar, Calendar No. 385.",04/17/2024,0,,,,,
H.R. 6015,https://www.congress.gov/bill/118th-congress/house-bill/6015,118th Congress (2023-2024),Iran Sanctions Accountability Act of 2023,"Luetkemeyer, Blaine [Rep.-R-MO-3]",10/20/2023,"House - Financial Services, Foreign Affairs, Oversight and Accountability, Ways and Means | Senate - Foreign Relations",Received in the Senate and Read twice and referred to the Committee on Foreign Relations.,04/17/2024,0,,,,,
H.R. 5921,https://www.congress.gov/bill/118th-congress/house-bill/5921,118th Congress (2023-2024),No U.S. Financing for Iran Act of 2023,"Huizenga, Bill [Rep.-R-MI-4]",10/11/2023,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",04/16/2024,30,,,,,
H.R. 6408,https://www.congress.gov/bill/118th-congress/house-bill/6408,118th Congress (2023-2024),To amend the Internal Revenue Code of 1986 to terminate the tax-exempt status of terrorist supporting organizations.,"Kustoff, David [Rep.-R-TN-8]",11/14/2023,House - Ways and Means | Senate - Finance,Received in the Senate and Read twice and referred to the Committee on Finance.,04/16/2024,7,,,,,
H.R. 5923,https://www.congress.gov/bill/118th-congress/house-bill/5923,118th Congress (2023-2024),Iran-China Energy Sanctions Act of 2023,"Lawler, Michael [Rep.-R-NY-17]",10/11/2023,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",04/16/2024,10,,,,,
H.Res. 1149,https://www.congress.gov/bill/118th-congress/house-resolution/1149,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 6323) to modify the availability of certain waiver authorities with respect to sanctions imposed with respect to the financial sector of Iran, and for other purposes; providing for consideration of the resolution (H. Res. 1143) condemning Iran's unprecedented drone and missile attack on Israel; providing for consideration of the bill (H.R. 4691) to provide for congressional review of actions to terminate or waive sanctions imposed with respect to Iran; providing for consideration of the bill (H.R. 5947) to provide for the rescission of certain waivers and licenses relating to Iran, and for other purposes; providing for consideration of the bill (H.R. 6046) to designate Ansarallah as a foreign terrorist organization and impose certain sanctions on Ansarallah, and for other purposes; and providing for consideration of the bill (H.R. 4639) to amend section 2702 of title 18, United States Code, to prevent law enforcement and intelligence agencies from obtaining subscriber or customer records in exchange for anything of value, to address communications and records in the possession of intermediary internet service providers, and for other purposes.","Reschenthaler, Guy [Rep.-R-PA-14]",04/16/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,04/16/2024,0,,,,,
H.Res. 863,https://www.congress.gov/bill/118th-congress/house-resolution/863,118th Congress (2023-2024),"Impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors.","Greene, Marjorie Taylor [Rep.-R-GA-14]",11/13/2023,House - Homeland Security,Received in the Senate.,04/16/2024,17,,,,,
H.R. 524,https://www.congress.gov/bill/118th-congress/house-bill/524,118th Congress (2023-2024),To amend the Coastal Barrier Resources Act to create an exemption for certain shoreline borrow sites.,"Rouzer, David [Rep.-R-NC-7]",01/25/2023,House - Natural Resources | Senate - Environment and Public Works,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,04/15/2024,3,,,,,
H.R. 4486,https://www.congress.gov/bill/118th-congress/house-bill/4486,118th Congress (2023-2024),Hiring Preference for Veterans and Americans With Disabilities Act,"Garcia, Mike [Rep.-R-CA-27]",07/06/2023,House - House Administration,"Placed on the Union Calendar, Calendar No. 382.",04/15/2024,0,,,,,
H.R. 2560,https://www.congress.gov/bill/118th-congress/house-bill/2560,118th Congress (2023-2024),Sea Turtle Rescue Assistance and Rehabilitation Act of 2023,"Keating, William R. [Rep.-D-MA-9]",04/10/2023,House - Natural Resources,Received in the Senate.,04/15/2024,13,,,,,
H.R. 6011,https://www.congress.gov/bill/118th-congress/house-bill/6011,118th Congress (2023-2024),ROWATA Act,"Valadao, David G. [Rep.-R-CA-22]",10/20/2023,"House - Natural Resources, Agriculture | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,04/15/2024,6,,,,,
H.R. 4460,https://www.congress.gov/bill/118th-congress/house-bill/4460,118th Congress (2023-2024),NO VOTE for Non-Citizens Act of 2023,"Griffith, H. Morgan [Rep.-R-VA-9]",07/03/2023,"House - House Administration, Judiciary","Placed on the Union Calendar, Calendar No. 383.",04/15/2024,4,,,,,
H.Res. 1137,https://www.congress.gov/bill/118th-congress/house-resolution/1137,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 7888) to reform the Foreign Intelligence Surveillance Act of 1978; providing for consideration of the bill (H.R. 529) to extend the customs waters of the United States from 12 nautical miles to 24 nautical miles from the baselines of the United States, consistent with Presidential Proclamation 7219; providing for consideration of the resolution (H. Res. 1112) denouncing the Biden administration's immigration policies; and providing for consideration of the resolution (H. Res. 1117) opposing efforts to place one-sided pressure on Israel with respect to Gaza.","Massie, Thomas [Rep.-R-KY-4]",04/12/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,04/12/2024,0,,,,,
H.R. 3250,https://www.congress.gov/bill/118th-congress/house-bill/3250,118th Congress (2023-2024),National Museum of Play Recognition Act,"Morelle, Joseph D. [Rep.-D-NY-25]",05/11/2023,House - Natural Resources,Received in the Senate.,04/11/2024,1,,,,,
H.R. 6233,https://www.congress.gov/bill/118th-congress/house-bill/6233,118th Congress (2023-2024),Community Reclamation Partnerships Act,"LaHood, Darin [Rep.-R-IL-16]",11/06/2023,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,04/10/2024,0,,,,,
H.R. 1829,https://www.congress.gov/bill/118th-congress/house-bill/1829,118th Congress (2023-2024),"To require the Secretary of Agriculture to convey the Pleasant Valley Ranger District Administrative Site to Gila County, Arizona.","Crane, Elijah [Rep.-R-AZ-2]",03/28/2023,House - Natural Resources,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 360.,04/10/2024,2,,,,,
H.R. 7645,https://www.congress.gov/bill/118th-congress/house-bill/7645,118th Congress (2023-2024),Clothes Dryer Reliability Act,"Ezell, Mike [Rep.-R-MS-4]",03/13/2024,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 376.",04/10/2024,0,,,,,
H.R. 7626,https://www.congress.gov/bill/118th-congress/house-bill/7626,118th Congress (2023-2024),Affordable Air Conditioning Act,"Crenshaw, Dan [Rep.-R-TX-2]",03/12/2024,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 374.",04/10/2024,0,,,,,
H.R. 6443,https://www.congress.gov/bill/118th-congress/house-bill/6443,118th Congress (2023-2024),Jamul Indian Village Land Transfer Act,"Issa, Darrell E. [Rep.-R-CA-48]",11/17/2023,House - Natural Resources | Senate - Indian Affairs,Received in the Senate and Read twice and referred to the Committee on Indian Affairs.,04/10/2024,1,,,,,
H.R. 6655,https://www.congress.gov/bill/118th-congress/house-bill/6655,118th Congress (2023-2024),A Stronger Workforce for America Act,"Foxx, Virginia [Rep.-R-NC-5]",12/07/2023,"House - Education and the Workforce, Ways and Means | Senate - Health, Education, Labor, and Pensions","Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",04/10/2024,29,,,,,
H.R. 1792,https://www.congress.gov/bill/118th-congress/house-bill/1792,118th Congress (2023-2024),South Pacific Tuna Treaty Act of 2023,"Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]",03/24/2023,"House - Natural Resources | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",04/10/2024,1,,,,,
H.Res. 1125,https://www.congress.gov/bill/118th-congress/house-resolution/1125,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 7888) to reform the Foreign Intelligence Surveillance Act of 1978; providing for consideration of the bill (H.R. 529) to extend the customs waters of the United States from 12 nautical miles to 24 nautical miles from the baselines of the United States, consistent with Presidential Proclamation 7219; providing for consideration of the resolution (H. Res. 1112) denouncing the Biden administration's immigration policies; and providing for consideration of the resolution (H. Res. 1117) opposing efforts to place one-sided pressure on Israel with respect to Gaza.","Roy, Chip [Rep.-R-TX-21]",04/10/2024,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,04/10/2024,0,,,,,
H.R. 1246,https://www.congress.gov/bill/118th-congress/house-bill/1246,118th Congress (2023-2024),To authorize leases of up to 99 years for land held in trust for federally recognized Indian Tribes.,"Hageman, Harriet M. [Rep.-R-WY-At Large]",02/28/2023,House - Natural Resources | Senate - Indian Affairs,Received in the Senate and Read twice and referred to the Committee on Indian Affairs.,04/10/2024,7,,,,,
H.J.Res. 116,https://www.congress.gov/bill/118th-congress/house-joint-resolution/116,118th Congress (2023-2024),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Employee or Independent Contractor Classification Under the Fair Labor Standards Act"".","Kiley, Kevin [Rep.-R-CA-3]",03/06/2024,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 369.",04/05/2024,67,,,,,
H.R. 3446,https://www.congress.gov/bill/118th-congress/house-bill/3446,118th Congress (2023-2024),Sunshine for Regulatory Decrees and Settlements Act of 2023,"Spartz, Victoria [Rep.-R-IN-5]",05/17/2023,House - Judiciary,"Placed on the Union Calendar, Calendar No. 367.",04/05/2024,6,,,,,
H.R. 5202,https://www.congress.gov/bill/118th-congress/house-bill/5202,118th Congress (2023-2024),Virginia Graeme Baker Pool and Spa Safety Reauthorization Act,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",08/11/2023,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 372.",04/05/2024,11,,,,,
H.R. 661,https://www.congress.gov/bill/118th-congress/house-bill/661,118th Congress (2023-2024),Sarah’s Law,"Feenstra, Randy [Rep.-R-IA-4]",01/31/2023,House - Judiciary,"Placed on the Union Calendar, Calendar No. 366.",04/05/2024,57,,,,,
H.R. 4770,https://www.congress.gov/bill/118th-congress/house-bill/4770,118th Congress (2023-2024),"Chesapeake Bay Science, Education, and Ecosystem Enhancement Act of 2023","Sarbanes, John P. [Rep.-D-MD-3]",07/20/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 359.",04/02/2024,14,,,,,
